league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
GER-Bundesliga,2526,Bayer Leverkusen,Ernest Poku,3,2025,119,13857,D M S,20,1143,5,3.421281225979328,5,3.421281225979328,4,2.29408223554492,23,21,0,0,8.373363271355629,3.0999652557075024
GER-Bundesliga,2526,Bayer Leverkusen,Exequiel Palacios,3,2025,119,8325,M S,6,174,0,0.1367870680987835,0,0.1367870680987835,0,0.04965495318174362,3,2,1,0,0.7277452200651169,0.5733933448791504
GER-Bundesliga,2526,Bayer Leverkusen,Ezequiél Fernández,3,2025,119,14008,M S,12,676,0,0.3325694929808378,0,0.3325694929808378,0,0.6245741136372089,7,5,1,1,5.495513692498207,5.12821357883513
GER-Bundesliga,2526,Bayer Leverkusen,Ibrahim Maza,3,2025,119,11484,M S,16,932,2,2.31283812969923,2,2.31283812969923,2,2.368396908044815,24,10,1,0,8.662955105304718,5.230780437588692
GER-Bundesliga,2526,Bayer Leverkusen,Janis Blaswich,3,2025,119,4313,GK S,6,478,0,0.0,0,0.0,0,0.0,0,0,0,0,0.5297129414975643,0.5297129414975643
GER-Bundesliga,2526,Bayer Leverkusen,Jarell Quansah,3,2025,119,10187,D S,18,1423,2,1.0680521354079247,2,1.0680521354079247,0,0.5625710226595402,6,7,6,0,6.6129046361893415,5.96305456571281
GER-Bundesliga,2526,Bayer Leverkusen,Jeanuël Belocian,3,2025,119,10300,D S,11,556,0,0.4021025225520134,0,0.4021025225520134,1,0.4648522362112999,3,4,1,0,2.2950143329799175,1.5446521528065205
GER-Bundesliga,2526,Bayer Leverkusen,Jonas Hofmann,3,2025,119,320,D M S,19,888,2,2.1369271278381348,2,2.1369271278381348,2,2.038105733692646,20,13,2,0,8.512899588793516,5.222089894115925
GER-Bundesliga,2526,Bayer Leverkusen,Loic Bade,3,2025,119,8665,D S,19,1382,0,0.9232862805947661,0,0.9232862805947661,0,0.13785948604345322,9,2,5,0,7.993081346154213,7.930074080824852
GER-Bundesliga,2526,Bayer Leverkusen,Lucas Vázquez,3,2025,119,2253,D S,9,398,1,0.8392858803272247,1,0.8392858803272247,2,1.9711537007242441,3,8,2,0,4.848973982036114,2.1554136499762535
GER-Bundesliga,2526,Bayer Leverkusen,Malik Tillman,3,2025,119,9860,M S,18,1350,4,3.0209284499287605,4,3.0209284499287605,1,2.9752110093832016,25,23,1,0,8.752640552818775,3.861290343105793
GER-Bundesliga,2526,Bayer Leverkusen,Mark Flekken,3,2025,119,7047,GK,17,1502,0,0.0,0,0.0,0,0.07206714153289795,0,1,1,0,3.433258520439267,3.361191378906369
GER-Bundesliga,2526,Bayer Leverkusen,Martin Terrier,3,2025,119,5611,F M S,13,432,3,1.9716667421162128,3,1.9716667421162128,0,0.8693425692617893,12,7,1,0,4.096405368298292,1.8165153861045837
GER-Bundesliga,2526,Bayer Leverkusen,Montrell Culbreath,3,2025,119,14126,S,1,11,1,0.5845470428466797,1,0.5845470428466797,0,0.06724710762500763,1,1,0,0,0.7683230042457581,0.11652883887290955
GER-Bundesliga,2526,Bayer Leverkusen,Nathan Tella,3,2025,119,8456,D M S,10,457,0,1.0251940991729498,0,1.0251940991729498,2,1.5962133891880512,8,11,2,0,3.0434862449765205,0.5327712595462799
GER-Bundesliga,2526,Bayer Leverkusen,Patrik Schick,3,2025,119,1236,F S,18,1237,7,9.753145601600409,5,8.237592231482267,2,1.5706447903066874,36,5,1,0,9.446830920875072,2.033428410999477
GER-Bundesliga,2526,Bayer Leverkusen,Piero Hincapié,3,2025,119,9911,D,1,90,0,0.5172572731971741,0,0.5172572731971741,0,0.0,2,0,0,0,0.11583748459815979,0.056226696819067
GER-Bundesliga,2526,Bayer Leverkusen,Robert Andrich,3,2025,119,7877,D M S,21,1588,1,0.5138549096882343,1,0.5138549096882343,0,0.31891004648059607,5,7,2,1,9.038674645125866,8.847194768488407
GER-Bundesliga,2526,Bayer Leverkusen,Álex Grimaldo,3,2025,119,11866,D,18,1549,5,4.212471025064588,3,2.6969177592545748,4,4.403433155268431,35,35,4,0,11.732199311256409,8.545130103826523
GER-Bundesliga,2526,Bayern Munich,Aleksandar Pavlovic,3,2025,117,11547,M S,19,1165,3,1.4776572212576866,3,1.4776572212576866,1,1.5991314332932234,9,16,2,0,13.10631861537695,11.549511067569256
GER-Bundesliga,2526,Bayern Munich,Alphonso Davies,3,2025,117,7345,D S,8,354,0,0.10381900519132614,0,0.10381900519132614,1,0.25392164662480354,2,4,1,0,3.30828352086246,3.1293214708566666
GER-Bundesliga,2526,Bayern Munich,Cassiano Kiala,3,2025,117,14071,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.4981572926044464,0.4981572926044464
GER-Bundesliga,2526,Bayern Munich,David Santos,3,2025,117,14130,S,1,17,0,0.0,0,0.0,0,0.0,0,0,0,0,1.1598855257034302,1.1598855257034302
GER-Bundesliga,2526,Bayern Munich,Dayotchanculle Upamecano,3,2025,117,5243,D S,18,1370,1,0.7822897434234619,1,0.7822897434234619,1,1.0368500724434853,7,8,3,0,9.853522010147572,9.449698768556118
GER-Bundesliga,2526,Bayern Munich,Felipe Chávez,3,2025,117,14267,S,3,7,0,0.016718551516532898,0,0.016718551516532898,0,0.11142665147781372,1,1,0,0,0.18986248597502708,0.1731439344584942
GER-Bundesliga,2526,Bayern Munich,Harry Kane,3,2025,117,647,F M S,23,1878,28,23.18966494500637,19,16.369674541056156,5,5.994267860427499,93,31,1,0,27.585038661956787,8.785946264863014
GER-Bundesliga,2526,Bayern Munich,Hiroki Ito,3,2025,117,9715,D S,10,475,1,1.4641361720860004,1,1.4641361720860004,2,0.598396485671401,9,4,0,0,2.474739149212837,1.6707735359668732
GER-Bundesliga,2526,Bayern Munich,Jamal Musiala,3,2025,117,8418,M S,6,167,0,0.8091710284352303,0,0.8091710284352303,2,0.4051453173160553,9,6,1,0,2.2144649624824524,1.000148594379425
GER-Bundesliga,2526,Bayern Munich,Jonah Kusi-Asare,3,2025,117,13262,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
GER-Bundesliga,2526,Bayern Munich,Jonas Urbig,3,2025,117,9861,GK S,6,490,0,0.0,0,0.0,0,0.0,0,0,0,0,1.973040908575058,1.973040908575058
GER-Bundesliga,2526,Bayern Munich,Jonathan Tah,3,2025,117,183,D S,20,1589,2,0.6638064542785287,2,0.6638064542785287,1,0.5882400423288345,8,5,4,0,9.171746760606766,8.776096269488335
GER-Bundesliga,2526,Bayern Munich,Joshua Kimmich,3,2025,117,223,M S,19,1455,1,1.8991702776402235,1,1.8991702776402235,6,5.378947254270315,17,36,3,0,17.906227469444275,13.475376218557358
GER-Bundesliga,2526,Bayern Munich,Josip Stanisic,3,2025,117,9458,D S,15,1126,2,0.9899783842265606,2,0.9899783842265606,3,1.7818419355899096,5,12,1,0,10.038258858025074,9.49463426321745
GER-Bundesliga,2526,Bayern Munich,Kim Min-Jae,3,2025,117,10986,D S,15,959,1,0.5455472841858864,1,0.5455472841858864,1,0.3288537859916687,2,1,1,0,7.7805591225624084,7.45170534402132
GER-Bundesliga,2526,Bayern Munich,Konrad Laimer,3,2025,117,6109,D S,18,1280,2,2.1760044004768133,2,2.1760044004768133,4,3.0036170054227114,12,25,5,0,14.456793829798698,11.033228818327188
GER-Bundesliga,2526,Bayern Munich,Lennart Karl,3,2025,117,13573,M S,20,886,4,5.17693954333663,4,5.17693954333663,2,1.5327150616794825,31,15,0,0,12.011604741215706,6.005749201402068
GER-Bundesliga,2526,Bayern Munich,Leon Goretzka,3,2025,117,335,M S,20,1247,2,1.1001940742135048,2,1.1001940742135048,0,1.7081422340124846,14,11,4,0,10.625754416920245,9.493924611248076
GER-Bundesliga,2526,Bayern Munich,Luis Díaz,3,2025,117,10408,M S,22,1847,13,12.067731887102127,13,12.067731887102127,10,7.445610035210848,64,52,5,0,27.557436384260654,10.468616167083383
GER-Bundesliga,2526,Bayern Munich,Manuel Neuer,3,2025,117,217,GK,18,1580,0,0.0,0,0.0,0,0.0,0,0,0,0,6.448836579918861,6.448836579918861
GER-Bundesliga,2526,Bayern Munich,Michael Olise,3,2025,117,9948,M S,22,1708,10,8.389118982478976,10,8.389118982478976,16,13.799577569589019,73,59,5,0,30.268197640776634,13.028520248830318
GER-Bundesliga,2526,Bayern Munich,Nicolas Jackson,3,2025,117,10048,F S,15,433,3,3.610215174034238,3,3.610215174034238,0,0.9465228263288736,14,10,0,0,4.929984636604786,0.8487337427213788
