league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2526,2025-10-19 St. Pauli-Hoffenheim,3,2025,30284,2025-10-19 15:30:00,288,120,St. Pauli,Hoffenheim,HOF,SPA,0,3,0.871968,1.79103,True,True,https://understat.com/match/30284
GER-Bundesliga,2526,2025-10-24 Werder Bremen-Union Berlin,3,2025,30295,2025-10-24 18:30:00,123,240,Werder Bremen,Union Berlin,UNI,WER,1,0,1.1444,0.487613,True,True,https://understat.com/match/30295
GER-Bundesliga,2526,2025-10-25 Augsburg-RasenBallsport Leipzig,3,2025,30287,2025-10-25 13:30:00,121,136,Augsburg,RasenBallsport Leipzig,RBL,AUG,0,6,0.639182,2.69438,True,True,https://understat.com/match/30287
GER-Bundesliga,2526,2025-10-25 Borussia Dortmund-FC Cologne,3,2025,30290,2025-10-25 16:30:00,129,134,Borussia Dortmund,FC Cologne,COL,DOR,1,0,2.09125,0.70563,True,True,https://understat.com/match/30290
GER-Bundesliga,2526,2025-10-25 Borussia M.Gladbach-Bayern Munich,3,2025,30289,2025-10-25 13:30:00,130,117,Borussia M.Gladbach,Bayern Munich,BAY,BMG,0,3,0.757777,2.65026,True,True,https://understat.com/match/30289
GER-Bundesliga,2526,2025-10-25 Eintracht Frankfurt-St. Pauli,3,2025,30291,2025-10-25 13:30:00,132,288,Eintracht Frankfurt,St. Pauli,SPA,EIN,2,0,2.42632,0.519973,True,True,https://understat.com/match/30291
GER-Bundesliga,2526,2025-10-25 Hamburger SV-Wolfsburg,3,2025,30292,2025-10-25 13:30:00,118,131,Hamburger SV,Wolfsburg,WOL,HAM,0,1,2.40547,0.695528,True,True,https://understat.com/match/30292
GER-Bundesliga,2526,2025-10-25 Hoffenheim-FC Heidenheim,3,2025,30293,2025-10-25 13:30:00,120,280,Hoffenheim,FC Heidenheim,HEI,HOF,3,1,2.4278,0.902315,True,True,https://understat.com/match/30293
GER-Bundesliga,2526,2025-10-26 Bayer Leverkusen-Freiburg,3,2025,30288,2025-10-26 13:30:00,119,135,Bayer Leverkusen,Freiburg,FRE,LEV,2,0,2.46787,0.542897,True,True,https://understat.com/match/30288
GER-Bundesliga,2526,2025-10-26 VfB Stuttgart-Mainz 05,3,2025,30294,2025-10-26 15:30:00,133,125,VfB Stuttgart,Mainz 05,MAI,STU,2,1,1.66805,1.40956,True,True,https://understat.com/match/30294
